Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1772229492.4839268	1772229605.5648546	113.08092784881592	0.0
2	1772229607.9225938	1772229709.70209	101.77949619293213	2.357739210128784
3	1772229712.0473328	1772229830.6009383	118.55360555648804	2.345242738723755
4	1772229833.063524	1772229935.9691112	102.9055871963501	2.462585687637329
5	1772229938.4339461	1772230042.6399744	104.20602822303772	2.4648349285125732
6	1772230045.1062589	1772230159.0461044	113.9398455619812	2.4662845134735107
7	1772230162.2562518	1772230264.4059002	102.14964842796326	3.2101473808288574
8	1772230266.9127007	1772230369.053718	102.1410174369812	2.506800413131714
9	1772230371.7832575	1772230474.202334	102.4190764427185	2.729539394378662
10	1772230477.031819	1772230580.6641695	103.6323504447937	2.8294851779937744
11	1772230583.1326363	1772230685.1910925	102.05845618247986	2.4684667587280273
12	1772230687.634549	1772230789.885031	102.25048208236694	2.4434564113616943
13	1772230792.3258917	1772230894.478677	102.1527853012085	2.4408607482910156
14	1772230897.1604035	1772230998.57836	101.41795659065247	2.6817264556884766
15	1772231001.1133933	1772231102.9611022	101.84770894050598	2.5350332260131836
16	1772231105.522676	1772231207.8302455	102.30756950378418	2.5615737438201904
17	1772231210.32839	1772231312.6960144	102.3676245212555	2.4981443881988525
18	1772231315.061976	1772231417.4508173	102.38884139060974	2.3659615516662598
19	1772231419.9240146	1772231524.184563	104.26054835319519	2.4731972217559814
20	1772231526.625139	1772231630.8497477	104.22460865974426	2.4405760765075684
21	1772231633.3571644	1772231735.9765885	102.61942410469055	2.5074167251586914
22	1772231738.4149444	1772231840.8248184	102.40987396240234	2.4383559226989746
23	1772231843.4642806	1772231945.6418147	102.17753410339355	2.6394622325897217
24	1772231948.3549435	1772232050.5111175	102.15617394447327	2.7131288051605225
25	1772232053.26324	1772232156.1768165	102.91357636451721	2.752122640609741
26	1772232158.732994	1772232262.8355205	104.10252642631531	2.5561776161193848
27	1772232265.6055636	1772232368.3727458	102.76718211174011	2.770043134689331
28	1772232371.0594082	1772232473.0021877	101.94277954101562	2.686662435531616
29	1772232475.3834703	1772232591.7127073	116.32923698425293	2.3812825679779053
30	1772232594.693595	1772232723.7540917	129.0604968070984	2.9808876514434814
31	1772232726.6772392	1772232828.9546068	102.27736759185791	2.923147439956665
32	1772232831.862802	1772232935.1376514	103.27484941482544	2.9081952571868896
33	1772232937.7409072	1772233066.8295007	129.0885934829712	2.6032557487487793
34	1772233070.3833935	1772233172.9506114	102.56721782684326	3.5538928508758545
35	1772233175.7398105	1772233277.7839117	102.04410123825073	2.789199113845825
36	1772233280.2682648	1772233382.609947	102.34168219566345	2.4843530654907227
37	1772233385.0979595	1772233486.9049282	101.80696868896484	2.4880125522613525
38	1772233489.5427876	1772233591.4549	101.91211247444153	2.637859344482422
39	1772233593.9015658	1772233695.1345134	101.23294758796692	2.4466657638549805
40	1772233697.610088	1772233799.4172387	101.8071506023407	2.4755747318267822
41	1772233801.8383548	1772233903.628918	101.79056310653687	2.4211161136627197
42	1772233906.1407387	1772234007.7836661	101.64292740821838	2.5118207931518555
43	1772234010.2444527	1772234112.5266166	102.2821638584137	2.4607865810394287
44	1772234115.0243094	1772234217.7693868	102.74507737159729	2.497692823410034
45	1772234220.2510567	1772234323.4286525	103.17759585380554	2.4816699028015137
46	1772234325.9015565	1772234430.2912679	104.38971138000488	2.4729039669036865
47	1772234432.740867	1772234538.7073743	105.96650743484497	2.449599027633667
48	1772234541.134337	1772234659.7131994	118.57886242866516	2.4269626140594482
49	1772234662.3166833	1772234766.6219854	104.30530214309692	2.6034839153289795
50	1772234769.0267458	1772234872.962705	103.93595910072327	2.4047603607177734
51	1772234875.5201159	1772234979.0030632	103.48294734954834	2.557410955429077
52	1772234981.4369082	1772235084.1667411	102.72983288764954	2.433845043182373
53	1772235086.6428192	1772235189.410596	102.76777672767639	2.4760780334472656
54	1772235191.9750783	1772235296.1542978	104.17921948432922	2.5644824504852295
55	1772235298.7008545	1772235402.2020814	103.50122690200806	2.5465567111968994
56	1772235404.843661	1772235513.2879853	108.44432425498962	2.6415796279907227
57	1772235515.9042313	1772235621.5303555	105.62612414360046	2.616245985031128
58	1772235624.21342	1772235728.02118	103.80776000022888	2.6830644607543945
59	1772235730.576539	1772235832.746638	102.17009902000427	2.555359125137329
60	1772235835.4720442	1772235938.7243598	103.25231552124023	2.7254061698913574
61	1772235941.2444067	1772236044.3732867	103.1288800239563	2.5200469493865967
62	1772236046.8734944	1772236149.0236158	102.1501214504242	2.5002076625823975
63	1772236151.469221	1772236280.4259803	128.95675921440125	2.4456052780151367
64	1772236283.0784194	1772236385.3700352	102.2916157245636	2.6524391174316406
65	1772236388.055348	1772236490.4337857	102.37843775749207	2.6853127479553223
66	1772236493.0816474	1772236592.162872	99.0812246799469	2.6478617191314697
67	1772236594.6773021	1772236697.194671	102.51736879348755	2.514430046081543
68	1772236699.7903242	1772236803.1679263	103.37760210037231	2.5956532955169678
69	1772236805.7958403	1772236908.2408392	102.44499897956848	2.6279139518737793
70	1772236910.8523364	1772237006.2864003	95.43406391143799	2.611497163772583
71	1772237008.8925302	1772237106.9148984	98.02236819267273	2.6061298847198486
72	1772237109.5921054	1772237206.9190352	97.32692980766296	2.6772069931030273
73	1772237209.5415642	1772237306.300828	96.75926375389099	2.6225290298461914
74	1772237308.9731092	1772237404.3851733	95.41206407546997	2.672281265258789
75	1772237407.0105886	1772237502.748458	95.73786926269531	2.625415325164795
76	1772237505.469653	1772237629.691381	124.22172808647156	2.7211949825286865
77	1772237632.4571056	1772237730.4688258	98.01172018051147	2.7657246589660645
78	1772237733.3245542	1772237829.1333964	95.80884218215942	2.8557283878326416
79	1772237831.8614192	1772237927.7731836	95.91176438331604	2.728022813796997
80	1772237930.4253418	1772238027.106589	96.68124723434448	2.652158260345459
81	1772238029.7320418	1772238125.5874894	95.85544753074646	2.625452756881714
82	1772238128.1885862	1772238224.8998241	96.71123790740967	2.6010968685150146
83	1772238227.6492603	1772238325.5412984	97.89203810691833	2.749436140060425
84	1772238328.471928	1772238426.4063296	97.93440175056458	2.9306294918060303
85	1772238429.0822935	1772238532.373104	103.29081058502197	2.675963878631592
86	1772238535.5140367	1772238640.3125288	104.79849219322205	3.140932559967041
87	1772238643.2716238	1772238745.7661507	102.49452686309814	2.959095001220703
88	1772238748.899915	1772238852.394457	103.4945421218872	3.1337642669677734
89	1772238855.2424011	1772238960.901511	105.65910983085632	2.8479440212249756
90	1772238963.8112128	1772239068.1649392	104.35372638702393	2.9097018241882324
91	1772239071.1204047	1772239174.2357638	103.11535906791687	2.95546555519104
92	1772239177.1458821	1772239280.8142846	103.66840243339539	2.910118341445923
