Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1772254658.0565114	1772254765.0559103	106.99939894676208	0.0
2	1772254767.5993724	1772254873.172707	105.57333469390869	2.543462038040161
3	1772254875.628919	1772254982.9820838	107.35316491127014	2.456211805343628
4	1772254985.4389668	1772255095.0785167	109.63954997062683	2.456882953643799
5	1772255097.655323	1772255211.48093	113.82560706138611	2.5768063068389893
6	1772255213.9113958	1772255343.572665	129.66126918792725	2.4304656982421875
7	1772255346.060244	1772255464.5724874	118.51224327087402	2.487579107284546
8	1772255467.1976786	1772255589.683228	122.48554944992065	2.6251912117004395
9	1772255592.2032306	1772255719.3302855	127.12705492973328	2.520002603530884
10	1772255722.0920422	1772255840.0223417	117.93029952049255	2.761756658554077
11	1772255842.3911633	1772255950.2793128	107.88814949989319	2.368821620941162
12	1772255955.5837076	1772256066.5142746	110.9305670261383	5.304394721984863
13	1772256068.8943589	1772256173.1460242	104.25166535377502	2.380084276199341
14	1772256175.9802792	1772256285.875533	109.89525389671326	2.8342549800872803
15	1772256289.5706477	1772256396.7535956	107.18294787406921	3.6951146125793457
16	1772256399.9888394	1772256504.9141152	104.9252758026123	3.235243797302246
17	1772256507.3176172	1772256605.2990122	97.98139500617981	2.4035019874572754
18	1772256608.9393146	1772256705.5208569	96.58154225349426	3.6403024196624756
19	1772256709.1269817	1772256805.6900373	96.5630555152893	3.6061248779296875
20	1772256808.6853518	1772256906.051339	97.36598706245422	2.995314598083496
21	1772256908.8248405	1772257005.3164904	96.49164986610413	2.7735016345977783
22	1772257007.985091	1772257104.3558216	96.37073063850403	2.668600559234619
23	1772257107.0673547	1772257203.8020253	96.73467063903809	2.7115330696105957
24	1772257206.3426952	1772257302.8134904	96.47079515457153	2.5406699180603027
25	1772257305.8370922	1772257402.5065868	96.66949462890625	3.023601770401001
26	1772257405.5463943	1772257505.6944919	100.1480975151062	3.0398075580596924
27	1772257508.8262894	1772257606.3480806	97.5217912197113	3.1317975521087646
28	1772257609.8951719	1772257706.5888736	96.69370174407959	3.547091245651245
29	1772257709.2315958	1772257807.7776277	98.5460319519043	2.6427221298217773
30	1772257810.4454935	1772257910.3529963	99.90750288963318	2.667865753173828
31	1772257913.1892715	1772258011.483258	98.29398655891418	2.836275100708008
32	1772258014.233063	1772258113.086266	98.8532030582428	2.749804973602295
33	1772258115.581383	1772258219.1337423	103.55235934257507	2.495116949081421
34	1772258221.7626388	1772258345.9636624	124.2010235786438	2.628896474838257
35	1772258348.6113951	1772258450.4206886	101.80929350852966	2.647732734680176
36	1772258452.910149	1772258554.376963	101.46681380271912	2.4894604682922363
37	1772258556.7836275	1772258657.9902637	101.20663619041443	2.4066646099090576
38	1772258661.0020537	1772258766.0113473	105.00929355621338	3.0117900371551514
39	1772258768.6442373	1772258872.8013513	104.15711402893066	2.632889986038208
40	1772258875.463357	1772258977.209859	101.74650192260742	2.662005662918091
41	1772258979.73728	1772259081.9185395	102.1812596321106	2.527420997619629
42	1772259084.8723617	1772259187.2723546	102.39999294281006	2.953822135925293
43	1772259190.0305781	1772259293.8789773	103.84839916229248	2.758223533630371
44	1772259296.9483392	1772259399.0791757	102.1308364868164	3.069361925125122
45	1772259401.9915142	1772259505.8465903	103.85507607460022	2.9123384952545166
46	1772259509.3609962	1772259611.5044153	102.14341902732849	3.5144059658050537
47	1772259614.6503055	1772259723.114462	108.46415638923645	3.145890235900879
48	1772259726.4370706	1772259839.4409688	113.00389814376831	3.322608709335327
49	1772259842.516843	1772259948.369823	105.85297989845276	3.0758743286132812
50	1772259951.629752	1772260056.4920766	104.86232471466064	3.2599289417266846
51	1772260060.3185372	1772260163.3740423	103.05550503730774	3.826460599899292
52	1772260166.0392382	1772260267.5942585	101.55502033233643	2.665195941925049
53	1772260271.4316516	1772260370.9048302	99.47317862510681	3.837393045425415
54	1772260373.6915107	1772260472.839984	99.14847326278687	2.7866804599761963
55	1772260476.8622234	1772260574.131146	97.26892256736755	4.022239446640015
