Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1770732482.6316943	1770732740.5404139	257.90871953964233	0.0
2	1770732742.6494114	1770733002.3934305	259.74401903152466	2.1089975833892822
3	1770733004.5611506	1770733264.0499077	259.4887571334839	2.167720079421997
4	1770733266.1301436	1770733526.3203006	260.1901569366455	2.0802359580993652
5	1770733528.5496325	1770733794.720874	266.1712415218353	2.2293319702148438
6	1770733797.0603507	1770734056.2014728	259.1411221027374	2.3394765853881836
7	1770734058.4675102	1770734325.7914104	267.3239002227783	2.2660374641418457
8	1770734328.123119	1770734590.959169	262.83604979515076	2.3317086696624756
9	1770734593.7941248	1770734856.717351	262.92322611808777	2.834955930709839
10	1770734859.3015833	1770735125.9712286	266.66964530944824	2.5842323303222656
11	1770735128.9715424	1770735400.307986	271.33644366264343	3.0003137588500977
12	1770735406.7808707	1770735668.3068142	261.52594351768494	6.472884654998779
13	1770735672.2704735	1770735937.1191957	264.84872221946716	3.9636592864990234
14	1770735939.8997262	1770736209.696716	269.7969899177551	2.7805304527282715
15	1770736212.3044548	1770736480.4634295	268.158974647522	2.607738733291626
16	1770736484.6149867	1770736756.4167194	271.8017327785492	4.151557207107544
17	1770736758.9418726	1770737029.046225	270.10435247421265	2.525153160095215
18	1770737031.8137605	1770737297.4644728	265.6507122516632	2.767535448074341
19	1770737300.3865602	1770737584.6423435	284.25578331947327	2.9220874309539795
20	1770737587.5164418	1770737858.717244	271.2008020877838	2.874098300933838
21	1770737861.589528	1770738133.7583237	272.1687955856323	2.872284173965454
22	1770738136.346683	1770738408.3831797	272.0364966392517	2.5883593559265137
23	1770738411.3571308	1770738674.3328097	262.97567892074585	2.9739511013031006
24	1770738677.6074913	1770738942.6457694	265.03827810287476	3.274681568145752
25	1770738945.536614	1770739212.907187	267.37057304382324	2.8908445835113525
26	1770739216.2294562	1770739489.6796277	273.4501714706421	3.3222692012786865
27	1770739492.5500586	1770739763.4916255	270.9415669441223	2.8704309463500977
28	1770739766.1902735	1770740039.8525894	273.6623158454895	2.698647975921631
29	1770740042.4330885	1770740314.9795496	272.5464611053467	2.5804991722106934
30	1770740317.6371632	1770740581.3348033	263.69764018058777	2.657613515853882
31	1770740584.532234	1770740851.9986763	267.4664423465729	3.1974306106567383
32	1770740854.7344666	1770741124.3026423	269.5681757926941	2.735790252685547
33	1770741127.6790888	1770741397.1718698	269.4927809238434	3.376446485519409
34	1770741401.7264674	1770741670.1600497	268.4335823059082	4.554597616195679
35	1770741672.9399877	1770741948.5676787	275.6276910305023	2.779937982559204
36	1770741951.9255874	1770742226.9998531	275.0742657184601	3.3579087257385254
37	1770742229.7969866	1770742502.104175	272.3071885108948	2.797133445739746
38	1770742505.3208742	1770742779.8220336	274.50115942955017	3.2166991233825684
39	1770742782.3332794	1770743056.8973157	274.56403636932373	2.5112457275390625
40	1770743061.5560684	1770743334.8443346	273.2882661819458	4.658752679824829
41	1770743338.17203	1770743615.753338	277.5813081264496	3.327695369720459
42	1770743618.8699894	1770743893.4782083	274.60821890830994	3.1166512966156006
43	1770743896.4586892	1770744172.6496847	276.1909954547882	2.980480909347534
44	1770744175.7005436	1770744451.9808524	276.2803087234497	3.050858974456787
45	1770744455.364279	1770744730.6188872	275.2546081542969	3.3834266662597656
46	1770744733.7775664	1770745006.4071012	272.6295347213745	3.158679246902466
47	1770745009.4628737	1770745281.9088993	272.4460256099701	3.055772542953491
48	1770745285.4153423	1770745561.9069316	276.49158930778503	3.5064430236816406
49	1770745564.5656195	1770745836.0591152	271.49349570274353	2.6586878299713135
50	1770745840.8291452	1770746117.5817142	276.7525689601898	4.7700300216674805
51	1770746120.9881508	1770746396.5881567	275.60000586509705	3.4064366817474365
52	1770746399.5968995	1770746670.0197122	270.4228127002716	3.0087428092956543
53	1770746673.427707	1770746941.6960578	268.26835083961487	3.4079947471618652
54	1770746945.1123793	1770747223.3984997	278.2861204147339	3.4163215160369873
55	1770747226.463044	1770747504.619068	278.156023979187	3.064544200897217
56	1770747508.0523918	1770747784.5420873	276.48969554901123	3.433323860168457
57	1770747788.4500992	1770748066.0376549	277.58755564689636	3.9080119132995605
58	1770748069.5649707	1770748348.2315965	278.6666257381439	3.527315855026245
59	1770748351.726725	1770748620.7106586	268.9839334487915	3.495128631591797
60	1770748624.151862	1770748902.7841918	278.6323299407959	3.4412033557891846
61	1770748908.0280359	1770749183.420157	275.39212107658386	5.243844032287598
62	1770749186.2519422	1770749459.057121	272.8051788806915	2.831785202026367
63	1770749462.7888622	1770749738.2202854	275.43142318725586	3.731741189956665
64	1770749742.0787754	1770750010.7027664	268.62399101257324	3.858489990234375
65	1770750013.6815414	1770750291.2533455	277.57180404663086	2.9787750244140625
66	1770750295.9081721	1770750585.418151	289.5099787712097	4.654826641082764
67	1770750589.4604394	1770750873.420297	283.95985746383667	4.042288541793823
68	1770750876.8706112	1770751163.3356702	286.46505904197693	3.4503142833709717
69	1770751167.5168197	1770751447.2155185	279.698698759079	4.181149482727051
70	1770751450.863383	1770751728.547375	277.6839919090271	3.647864580154419
71	1770751732.2075884	1770752014.1185136	281.9109251499176	3.6602134704589844
72	1770752017.3837814	1770752297.2745814	279.89079999923706	3.265267848968506
73	1770752300.8801615	1770752577.9798417	277.099680185318	3.6055800914764404
74	1770752584.0011802	1770752862.3769987	278.37581849098206	6.02133846282959
75	1770752865.7644792	1770753141.751512	275.9870328903198	3.3874804973602295
76	1770753144.770582	1770753417.3713236	272.60074162483215	3.0190699100494385
77	1770753421.4780004	1770753687.9782867	266.5002863407135	4.106676816940308
78	1770753691.9599912	1770753982.777163	290.8171718120575	3.9817044734954834
79	1770753987.8323426	1770754270.686438	282.8540954589844	5.055179595947266
80	1770754273.9660997	1770754553.5509243	279.58482456207275	3.2796616554260254
81	1770754557.59921	1770754841.0813072	283.48209714889526	4.048285722732544
82	1770754843.9876401	1770755118.1975176	274.2098774909973	2.9063329696655273
83	1770755121.9834168	1770755396.5823393	274.5989224910736	3.7858991622924805
84	1770755400.380727	1770755674.6610973	274.2803702354431	3.7983877658843994
85	1770755677.7906678	1770755960.0626235	282.2719557285309	3.129570484161377
86	1770755964.385061	1770756250.1319013	285.74684023857117	4.322437524795532
87	1770756253.4038959	1770756539.9188974	286.51500153541565	3.2719945907592773
88	1770756543.313788	1770756829.6282885	286.31450057029724	3.394890546798706
89	1770756834.8920026	1770757109.5663104	274.67430782318115	5.263714075088501
90	1770757113.0436425	1770757397.1788292	284.1351866722107	3.47733211517334
91	1770757403.5859237	1770757678.5674622	274.98153853416443	6.407094478607178
92	1770757683.2863235	1770757961.4967947	278.2104711532593	4.71886134147644
