Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1770795327.9822834	1770795578.968311	250.98602771759033	0.0
2	1770795582.1814332	1770795846.8774862	264.6960530281067	3.2131221294403076
3	1770795850.1044173	1770796113.960512	263.85609459877014	3.226931095123291
4	1770796116.5438542	1770796380.0800953	263.5362410545349	2.5833423137664795
5	1770796383.1177516	1770796646.8824456	263.7646939754486	3.037656307220459
6	1770796649.6560194	1770796904.8988273	255.24280786514282	2.773573875427246
7	1770796908.8843615	1770797174.2054396	265.3210780620575	3.985534191131592
8	1770797176.8904755	1770797443.8559706	266.9654951095581	2.6850359439849854
9	1770797447.0572822	1770797713.189352	266.1320698261261	3.2013115882873535
10	1770797716.08958	1770797981.8154097	265.72582960128784	2.9002280235290527
11	1770797985.1417542	1770798239.3161683	254.17441415786743	3.3263444900512695
12	1770798242.5198026	1770798497.5101576	254.99035501480103	3.203634262084961
13	1770798501.913296	1770798765.8896456	263.97634959220886	4.4031383991241455
14	1770798771.9033375	1770799027.3626094	255.4592719078064	6.0136919021606445
15	1770799030.6153681	1770799293.7225378	263.1071696281433	3.252758741378784
16	1770799297.9150908	1770799553.0696359	255.15454506874084	4.1925530433654785
17	1770799558.9065716	1770799816.802727	257.89615535736084	5.836935758590698
18	1770799819.8264203	1770800076.232666	256.4062457084656	3.023693323135376
19	1770800079.5063453	1770800348.2551363	268.7487909793854	3.273679256439209
20	1770800351.789689	1770800621.7891421	269.99945306777954	3.534552812576294
21	1770800625.561055	1770800889.0431094	263.4820544719696	3.7719128131866455
22	1770800893.2635815	1770801164.2772882	271.01370668411255	4.220472097396851
23	1770801169.6025403	1770801438.2982395	268.6956992149353	5.325252056121826
24	1770801441.9095702	1770801707.567052	265.65748167037964	3.61133074760437
25	1770801712.4878922	1770801980.6107764	268.12288427352905	4.920840263366699
26	1770801984.6106734	1770802254.593266	269.98259258270264	3.999897003173828
27	1770802257.4876485	1770802509.832836	252.3451874256134	2.8943824768066406
28	1770802512.6762738	1770802779.2765706	266.60029673576355	2.843437910079956
29	1770802782.7704952	1770803037.9286566	255.15816140174866	3.493924617767334
30	1770803042.3580327	1770803314.332643	271.9746103286743	4.429376125335693
31	1770803317.2461236	1770803588.2315419	270.98541831970215	2.913480520248413
32	1770803591.2740543	1770803859.0986016	267.824547290802	3.0425124168395996
33	1770803862.7720225	1770804128.499949	265.72792649269104	3.6734209060668945
34	1770804132.0966768	1770804398.4143322	266.3176553249359	3.5967278480529785
35	1770804402.4960775	1770804674.5409808	272.04490327835083	4.081745386123657
36	1770804678.997223	1770804949.093597	270.0963740348816	4.456242084503174
37	1770804952.2438354	1770805219.2196894	266.9758539199829	3.150238513946533
38	1770805223.0867238	1770805490.3252509	267.23852705955505	3.867034435272217
39	1770805494.1299584	1770805764.253218	270.12325954437256	3.8047075271606445
40	1770805768.1593351	1770806031.625988	263.4666528701782	3.9061172008514404
41	1770806034.7726586	1770806304.86925	270.09659147262573	3.1466705799102783
42	1770806308.2882814	1770806577.3081973	269.0199158191681	3.4190313816070557
43	1770806580.9866073	1770806850.4382756	269.4516682624817	3.678410053253174
44	1770806854.702145	1770807124.4867587	269.78461360931396	4.263869524002075
45	1770807128.9691281	1770807403.6321301	274.66300201416016	4.482369422912598
46	1770807408.4311025	1770807679.6820853	271.25098276138306	4.7989723682403564
47	1770807687.714678	1770807956.686979	268.97230100631714	8.0325927734375
48	1770807959.7391388	1770808232.0939426	272.3548038005829	3.0521597862243652
49	1770808237.0946348	1770808502.8357134	265.7410786151886	5.000692129135132
50	1770808507.0029974	1770808783.5828145	276.5798170566559	4.16728401184082
51	1770808786.8659668	1770809057.4362426	270.5702757835388	3.2831523418426514
52	1770809061.383111	1770809331.1952918	269.8121807575226	3.946868419647217
53	1770809337.659593	1770809605.9865882	268.32699513435364	6.464301347732544
54	1770809612.692373	1770809871.8166375	259.1242644786835	6.705784797668457
55	1770809876.2476106	1770810136.8257606	260.5781500339508	4.430973052978516
56	1770810140.9350893	1770810398.3972802	257.46219086647034	4.109328746795654
57	1770810401.727508	1770810669.4089038	267.68139576911926	3.330227851867676
58	1770810672.7033172	1770810940.042075	267.3387577533722	3.2944133281707764
59	1770810945.7666788	1770811198.361755	252.59507608413696	5.724603891372681
60	1770811205.1432645	1770811471.5417688	266.39850425720215	6.781509637832642
61	1770811475.235443	1770811746.1666126	270.9311695098877	3.693674325942993
62	1770811750.2438378	1770812016.7827532	266.5389153957367	4.077225208282471
63	1770812021.4702141	1770812287.7879546	266.31774044036865	4.687460899353027
64	1770812290.745764	1770812557.3746188	266.6288547515869	2.9578094482421875
65	1770812560.5963821	1770812828.0219648	267.4255826473236	3.2217633724212646
66	1770812831.6747003	1770813091.2887592	259.61405897140503	3.652735471725464
67	1770813094.3585536	1770813359.1464427	264.78788900375366	3.0697944164276123
68	1770813362.9907215	1770813630.9237623	267.93304085731506	3.8442788124084473
69	1770813637.000652	1770813903.3170452	266.31639313697815	6.076889753341675
70	1770813907.3924396	1770814180.2428741	272.85043454170227	4.07539439201355
71	1770814186.100665	1770814459.4846022	273.3839371204376	5.857790946960449
