Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1772388810.356787	1772389139.3539352	328.99714827537537	0.0
2	1772389141.61362	1772389437.204208	295.5905878543854	2.2596848011016846
3	1772389439.4739454	1772389768.9808064	329.5068609714508	2.269737482070923
4	1772389771.5461237	1772390068.7972243	297.25110054016113	2.565317392349243
5	1772390071.2153304	1772390361.8800342	290.6647038459778	2.4181060791015625
6	1772390364.2753146	1772390680.9569829	316.6816682815552	2.395280361175537
7	1772390683.3843503	1772390975.5497031	292.1653528213501	2.4273674488067627
8	1772390977.940959	1772391307.3447428	329.4037837982178	2.3912558555603027
9	1772391309.9385912	1772391604.0441692	294.10557794570923	2.593848466873169
10	1772391606.5726295	1772391898.3478837	291.77525424957275	2.5284602642059326
11	1772391901.1054144	1772392199.0608206	297.95540618896484	2.757530689239502
12	1772392202.8326488	1772392494.4765205	291.6438717842102	3.7718281745910645
13	1772392496.9823143	1772392785.801894	288.81957960128784	2.505793809890747
14	1772392789.745663	1772393084.99303	295.247367143631	3.9437689781188965
15	1772393088.0718613	1772393377.6841543	289.6122930049896	3.078831195831299
16	1772393381.178671	1772393672.685472	291.50680112838745	3.494516611099243
17	1772393675.4603803	1772393966.9718277	291.511447429657	2.7749083042144775
18	1772393970.1624892	1772394264.016351	293.85386180877686	3.1906614303588867
19	1772394267.1526132	1772394557.4329515	290.2803382873535	3.1362621784210205
20	1772394560.3823733	1772394850.2767756	289.8944022655487	2.9494218826293945
21	1772394853.5991566	1772395144.7736614	291.1745047569275	3.322381019592285
22	1772395149.2133691	1772395439.7799573	290.56658816337585	4.4397077560424805
23	1772395443.2313273	1772395731.907417	288.67608976364136	3.4513700008392334
24	1772395737.6425962	1772396027.6463594	290.00376319885254	5.73517918586731
25	1772396031.0236773	1772396321.169192	290.1455147266388	3.3773179054260254
26	1772396324.8431711	1772396614.4258137	289.5826425552368	3.6739790439605713
27	1772396620.0084696	1772396913.2481027	293.2396330833435	5.582655906677246
28	1772396916.5687263	1772397209.0398674	292.4711410999298	3.3206236362457275
29	1772397212.814585	1772397508.9192867	296.10470175743103	3.7747175693511963
30	1772397512.0421543	1772397808.3049717	296.2628173828125	3.1228675842285156
31	1772397811.56433	1772398108.4148355	296.85050535202026	3.2593584060668945
32	1772398111.5271535	1772398402.5650916	291.03793811798096	3.1123180389404297
33	1772398406.6028721	1772398702.5234005	295.92052841186523	4.037780523300171
34	1772398705.5511541	1772398996.347191	290.79603695869446	3.0277535915374756
35	1772399000.0087729	1772399292.061003	292.0522301197052	3.6615817546844482
36	1772399295.2770314	1772399584.8069844	289.5299530029297	3.2160284519195557
37	1772399587.8807049	1772399877.9617321	290.0810272693634	3.0737204551696777
38	1772399881.152946	1772400170.395824	289.2428779602051	3.191213846206665
39	1772400173.6631165	1772400464.433856	290.7707395553589	3.2672924995422363
40	1772400468.4752214	1772400758.689299	290.21407771110535	4.041365385055542
41	1772400761.8267558	1772401053.434513	291.6077573299408	3.1374566555023193
42	1772401057.0070193	1772401346.8835793	289.87655997276306	3.5725061893463135
43	1772401356.4526048	1772401671.6249976	315.1723928451538	9.56902551651001
44	1772401675.468454	1772401964.2947326	288.82627868652344	3.843456268310547
45	1772401967.4404113	1772402259.980374	292.5399627685547	3.145678758621216
46	1772402262.9308734	1772402553.1094735	290.1786000728607	2.9504992961883545
47	1772402556.5805242	1772402849.152372	292.57184767723083	3.47105073928833
48	1772402854.1243684	1772403145.6389356	291.5145671367645	4.971996545791626
49	1772403148.682438	1772403441.3283823	292.64594435691833	3.0435023307800293
50	1772403444.5261478	1772403735.0461063	290.51995849609375	3.197765588760376
