Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1770582718.5952704	1770582916.4795918	197.88432145118713	0.0
2	1770582919.6681836	1770583138.7068305	219.03864693641663	3.188591718673706
3	1770583141.5920794	1770583360.450699	218.8586196899414	2.885248899459839
4	1770583364.9272969	1770583583.4405382	218.51324129104614	4.476597785949707
5	1770583586.0421956	1770583805.8662474	219.82405185699463	2.6016573905944824
6	1770583808.8765016	1770584028.4637856	219.58728408813477	3.010254144668579
7	1770584032.4613152	1770584252.281432	219.82011675834656	3.9975295066833496
8	1770584255.1523457	1770584475.261703	220.10935735702515	2.8709137439727783
9	1770584478.3886654	1770584693.6396575	215.25099205970764	3.126962423324585
10	1770584696.8655915	1770584916.3764353	219.5108437538147	3.2259340286254883
11	1770584919.5132167	1770585139.1048265	219.5916097164154	3.1367814540863037
12	1770585141.9888034	1770585361.7024827	219.71367931365967	2.883976936340332
13	1770585365.4426835	1770585585.869311	220.4266276359558	3.7402007579803467
14	1770585589.9454362	1770585809.7851782	219.83974194526672	4.076125144958496
15	1770585812.90415	1770586032.6642463	219.7600963115692	3.118971824645996
16	1770586035.5108085	1770586255.5078113	219.99700284004211	2.846562147140503
17	1770586258.525927	1770586479.0996544	220.57372736930847	3.018115758895874
18	1770586482.157644	1770586702.7154064	220.55776238441467	3.0579895973205566
19	1770586706.3567557	1770586925.6306374	219.27388167381287	3.6413493156433105
20	1770586928.6598814	1770587147.9607165	219.30083513259888	3.0292439460754395
21	1770587150.9055269	1770587370.8592875	219.95376062393188	2.944810390472412
22	1770587373.69368	1770587593.24767	219.55398988723755	2.834392547607422
23	1770587595.936408	1770587814.8678162	218.93140816688538	2.6887381076812744
24	1770587818.6225693	1770588037.7540674	219.1314980983734	3.7547531127929688
25	1770588040.5598748	1770588260.104239	219.54436421394348	2.80580735206604
26	1770588263.3598883	1770588483.7579648	220.39807653427124	3.2556493282318115
27	1770588487.4406402	1770588706.7924416	219.35180139541626	3.682675361633301
28	1770588711.6436148	1770588931.0643756	219.42076086997986	4.851173162460327
29	1770588934.6183808	1770589154.7103899	220.0920090675354	3.5540051460266113
30	1770589157.9642172	1770589377.643736	219.679518699646	3.2538273334503174
31	1770589382.1410174	1770589600.5982552	218.4572377204895	4.497281551361084
32	1770589604.1973457	1770589823.6643891	219.4670433998108	3.599090576171875
33	1770589827.9915085	1770590047.4150164	219.42350792884827	4.32711935043335
34	1770590050.7124946	1770590270.469415	219.756920337677	3.297478199005127
35	1770590273.7854478	1770590493.4165142	219.63106632232666	3.316032886505127
36	1770590497.599014	1770590717.3779566	219.77894258499146	4.182499885559082
37	1770590720.5652683	1770590940.0107105	219.44544219970703	3.1873116493225098
38	1770590943.9537854	1770591163.639578	219.68579268455505	3.943074941635132
39	1770591170.1213944	1770591389.5509913	219.42959690093994	6.481816291809082
40	1770591394.3230634	1770591614.184909	219.86184573173523	4.772072076797485
41	1770591617.2424726	1770591836.577825	219.33535242080688	3.057563543319702
42	1770591840.4019353	1770592060.1473153	219.74537992477417	3.824110269546509
43	1770592064.3376706	1770592283.7794337	219.44176316261292	4.19035530090332
44	1770592288.6414835	1770592508.2294888	219.58800530433655	4.86204981803894
45	1770592511.8236482	1770592731.260919	219.43727087974548	3.5941593647003174
46	1770592735.9087174	1770592955.6689115	219.76019406318665	4.647798299789429
47	1770592959.4363976	1770593179.0014114	219.56501388549805	3.767486095428467
48	1770593182.5851552	1770593403.0005908	220.41543555259705	3.5837438106536865
49	1770593406.3627558	1770593625.7618072	219.3990514278412	3.3621649742126465
50	1770593629.011095	1770593849.0797987	220.06870365142822	3.2492878437042236
51	1770593853.698176	1770594073.4162931	219.71811723709106	4.618377208709717
52	1770594077.3899097	1770594296.6815438	219.2916340827942	3.973616600036621
53	1770594301.259161	1770594520.7592754	219.50011444091797	4.577617168426514
54	1770594524.7824485	1770594744.1430116	219.36056303977966	4.023173093795776
55	1770594748.3771927	1770594967.8008816	219.4236888885498	4.23418116569519
56	1770594971.7774687	1770595192.3954818	220.61801314353943	3.9765870571136475
57	1770595195.7218025	1770595415.5120752	219.79027271270752	3.3263206481933594
58	1770595420.3657682	1770595639.5177686	219.1520004272461	4.853693008422852
59	1770595643.348768	1770595862.6331015	219.28433346748352	3.8309993743896484
60	1770595866.61459	1770596086.9515173	220.33692741394043	3.9814884662628174
61	1770596089.9411998	1770596309.4364934	219.49529361724854	2.98968243598938
62	1770596313.721035	1770596532.235458	218.51442289352417	4.284541606903076
63	1770596536.010032	1770596755.7097678	219.69973587989807	3.774574041366577
64	1770596759.347023	1770596978.9232433	219.57622027397156	3.6372551918029785
65	1770596983.318969	1770597202.0539422	218.73497319221497	4.395725727081299
66	1770597206.324308	1770597425.838232	219.5139241218567	4.2703657150268555
67	1770597429.1684926	1770597648.3849514	219.21645879745483	3.3302605152130127
68	1770597652.2426865	1770597871.3711941	219.12850761413574	3.8577351570129395
69	1770597875.1268954	1770598094.5581112	219.43121576309204	3.7557013034820557
70	1770598098.8865502	1770598319.650246	220.7636957168579	4.328438997268677
