Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1772576839.5678751	1772577137.731817	298.163941860199	0.0
2	1772577140.3191187	1772577443.1588337	302.8397150039673	2.587301731109619
3	1772577445.6471646	1772577738.9654446	293.31827998161316	2.488330841064453
4	1772577741.632409	1772578031.8207896	290.1883804798126	2.666964530944824
5	1772578034.8477912	1772578331.4765735	296.62878227233887	3.0270016193389893
6	1772578334.7021637	1772578558.6815095	223.97934579849243	3.225590229034424
7	1772578561.81514	1772578860.8566024	299.04146242141724	3.1336305141448975
8	1772578863.7335937	1772579097.5106437	233.77705001831055	2.8769912719726562
9	1772579100.544924	1772579314.1582797	213.61335563659668	3.034280300140381
10	1772579316.9039207	1772579538.2418017	221.33788108825684	2.745640993118286
11	1772579541.321526	1772579759.2047846	217.8832585811615	3.0797243118286133
12	1772579762.9270654	1772580085.5814571	322.6543917655945	3.722280740737915
13	1772580088.8236282	1772580306.6197567	217.79612851142883	3.242171049118042
14	1772580310.1814024	1772580521.0359697	210.85456728935242	3.561645746231079
15	1772580523.9205515	1772580753.9589794	230.03842782974243	2.8845818042755127
16	1772580756.7883499	1772581037.7013943	280.91304445266724	2.8293704986572266
17	1772581040.5304492	1772581277.6816874	237.1512382030487	2.829054832458496
18	1772581280.7652562	1772581501.8986287	221.1333725452423	3.083568811416626
19	1772581505.2330506	1772581725.368184	220.13513350486755	3.3344218730926514
20	1772581729.700856	1772581953.3280332	223.62717723846436	4.332671880722046
21	1772581957.1801217	1772582173.8842242	216.70410251617432	3.852088451385498
22	1772582177.0258446	1772582399.5996149	222.5737702846527	3.141620397567749
23	1772582403.3963003	1772582618.8024747	215.40617442131042	3.7966854572296143
24	1772582622.1431677	1772582857.005805	234.86263728141785	3.3406929969787598
25	1772582862.5708206	1772583109.0495923	246.47877168655396	5.565015554428101
26	1772583112.5549054	1772583344.1641886	231.60928320884705	3.5053131580352783
27	1772583347.0520694	1772583586.9378922	239.88582277297974	2.887880802154541
28	1772583589.734581	1772583815.61214	225.8775589466095	2.7966887950897217
29	1772583820.0105503	1772584034.17216	214.1616096496582	4.398410320281982
30	1772584036.8570106	1772584249.6919434	212.83493280410767	2.6848506927490234
31	1772584252.7155952	1772584482.998088	230.28249263763428	3.0236518383026123
32	1772584485.7908428	1772584706.0162666	220.2254238128662	2.792754888534546
33	1772584709.750974	1772584960.1901588	250.4391849040985	3.7347073554992676
34	1772584963.1421132	1772585221.8328607	258.69074749946594	2.9519543647766113
35	1772585224.9683108	1772585466.9059024	241.93759155273438	3.1354501247406006
36	1772585469.787471	1772585714.7452636	244.95779252052307	2.881568670272827
37	1772585717.7119021	1772585930.775043	213.06314086914062	2.9666385650634766
38	1772585933.8350494	1772586155.2467585	221.4117090702057	3.0600063800811768
39	1772586158.4191978	1772586371.4277437	213.00854587554932	3.1724393367767334
40	1772586374.9979641	1772586596.4278212	221.42985701560974	3.570220470428467
41	1772586599.7231634	1772586815.5511973	215.82803392410278	3.295342206954956
42	1772586818.749914	1772587038.8848798	220.13496589660645	3.198716640472412
43	1772587042.3135273	1772587258.4978738	216.18434643745422	3.428647518157959
44	1772587262.358904	1772587482.5337124	220.17480850219727	3.861030101776123
45	1772587486.0633986	1772587703.6382108	217.57481217384338	3.529686212539673
46	1772587706.7253673	1772587925.3043985	218.57903122901917	3.0871565341949463
47	1772587928.860579	1772588156.9189534	228.05837440490723	3.556180477142334
48	1772588162.8871183	1772588372.737509	209.85039067268372	5.968164920806885
49	1772588376.80602	1772588584.5889637	207.78294372558594	4.068511009216309
50	1772588587.7744105	1772588810.9642007	223.18979024887085	3.1854467391967773
51	1772588814.4557955	1772589055.5262945	241.07049894332886	3.4915947914123535
52	1772589058.8457696	1772589294.6151385	235.76936888694763	3.3194751739501953
53	1772589298.550802	1772589536.2297356	237.67893362045288	3.9356634616851807
54	1772589539.7497876	1772589785.6236715	245.87388396263123	3.520051956176758
55	1772589789.1687863	1772590021.60175	232.43296360969543	3.545114755630493
56	1772590025.7910833	1772590245.281648	219.49056458473206	4.189333438873291
57	1772590248.8257892	1772590480.549664	231.7238748073578	3.5441412925720215
58	1772590485.0968833	1772590720.0262015	234.92931818962097	4.547219276428223
59	1772590725.3139484	1772590943.1746378	217.8606894016266	5.287746906280518
60	1772590947.2001128	1772591172.9738579	225.77374505996704	4.025475025177002
61	1772591176.2693493	1772591505.3042173	329.03486800193787	3.2954914569854736
62	1772591508.9116273	1772591732.2694976	223.3578703403473	3.607409954071045
63	1772591735.6411772	1772591959.1154613	223.4742841720581	3.3716795444488525
64	1772591963.053542	1772592292.3590205	329.30547857284546	3.9380805492401123
65	1772592295.8486884	1772592589.9490557	294.10036730766296	3.4896678924560547
66	1772592593.7678583	1772592808.0882304	214.32037210464478	3.81880259513855
67	1772592811.347764	1772593036.1585793	224.81081533432007	3.259533643722534
68	1772593039.5117579	1772593252.4515605	212.93980264663696	3.3531785011291504
69	1772593256.0895395	1772593465.7427382	209.65319871902466	3.637979030609131
70	1772593468.9400961	1772593676.2937016	207.35360550880432	3.1973578929901123
71	1772593679.428628	1772593883.5639148	204.13528680801392	3.1349263191223145
72	1772593886.97065	1772594093.273018	206.30236792564392	3.4067351818084717
73	1772594098.3067737	1772594310.0547266	211.74795293807983	5.033755779266357
74	1772594313.9143834	1772594518.5500102	204.63562679290771	3.859656810760498
75	1772594522.5408971	1772594752.8260002	230.28510308265686	3.990886926651001
76	1772594756.5272677	1772595000.8935547	244.36628699302673	3.7012674808502197
77	1772595006.9919472	1772595235.8711762	228.8792290687561	6.098392486572266
78	1772595239.939142	1772595456.1037433	216.16460132598877	4.067965745925903
79	1772595460.3331647	1772595790.9187164	330.585551738739	4.229421377182007
80	1772595794.6097245	1772596004.2022848	209.59256029129028	3.6910080909729004
81	1772596007.1763794	1772596214.101885	206.92550563812256	2.9740946292877197
82	1772596217.7203054	1772596434.4346611	216.71435570716858	3.618420362472534
83	1772596438.4803815	1772596648.1810791	209.70069766044617	4.045720338821411
84	1772596651.2607055	1772596859.2407308	207.98002529144287	3.0796263217926025
85	1772596862.7705746	1772597071.467224	208.69664931297302	3.529843807220459
