Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1772522612.4058688	1772522835.186494	222.78062534332275	0.0
2	1772522837.537966	1772523057.180066	219.6421000957489	2.3514719009399414
3	1772523059.625114	1772523279.2645395	219.63942551612854	2.4450478553771973
4	1772523281.7153559	1772523507.7448075	226.02945160865784	2.4508163928985596
5	1772523510.3128114	1772523722.0163794	211.70356798171997	2.5680038928985596
6	1772523724.4266055	1772523937.598598	213.1719925403595	2.4102261066436768
7	1772523940.093824	1772524152.746649	212.6528251171112	2.4952259063720703
8	1772524155.483795	1772524371.150457	215.66666197776794	2.7371459007263184
9	1772524373.597282	1772524606.2370787	232.6397967338562	2.4468250274658203
10	1772524608.7562153	1772524834.1434147	225.38719940185547	2.519136667251587
11	1772524836.55725	1772525049.4203386	212.8630886077881	2.413835287094116
12	1772525052.1413705	1772525263.4012368	211.25986623764038	2.721031904220581
13	1772525265.7855399	1772525477.2604098	211.47486996650696	2.384303092956543
14	1772525479.5549395	1772525690.673363	211.11842346191406	2.294529676437378
15	1772525693.169299	1772525903.5247319	210.35543298721313	2.4959359169006348
16	1772525905.84121	1772526118.3299823	212.48877239227295	2.3164780139923096
17	1772526120.690368	1772526339.28573	218.5953619480133	2.3603856563568115
18	1772526341.8608222	1772526557.5403168	215.6794946193695	2.575092315673828
19	1772526559.8791115	1772526771.5411062	211.66199469566345	2.338794708251953
20	1772526773.8001163	1772526984.5756135	210.77549719810486	2.259010076522827
21	1772526987.0262482	1772527197.6550426	210.6287944316864	2.450634717941284
22	1772527200.0489416	1772527411.8747666	211.8258249759674	2.3938989639282227
23	1772527414.3494406	1772527627.644592	213.29515147209167	2.4746739864349365
24	1772527629.928729	1772527842.0726879	212.14395880699158	2.284137010574341
25	1772527844.4033563	1772528056.8136592	212.41030287742615	2.3306684494018555
26	1772528059.1880953	1772528270.8755999	211.687504529953	2.374436140060425
27	1772528273.238143	1772528485.9339662	212.69582319259644	2.3625431060791016
28	1772528488.473166	1772528701.8531764	213.38001036643982	2.5391998291015625
29	1772528704.2286508	1772528916.606728	212.37807726860046	2.375474452972412
30	1772528919.0235553	1772529142.1249197	223.10136437416077	2.4168272018432617
