Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1772191069.977859	1772191139.5291252	69.55126619338989	0.0
2	1772191141.8603768	1772191224.7122862	82.85190939903259	2.331251621246338
3	1772191227.1064072	1772191299.4912398	72.38483262062073	2.394120931625366
4	1772191302.1722276	1772191371.7134938	69.54126620292664	2.68098783493042
5	1772191374.106595	1772191436.453677	62.347081899642944	2.393101215362549
6	1772191439.1695735	1772191501.2115753	62.042001724243164	2.7158966064453125
7	1772191503.8215535	1772191564.2664146	60.44486117362976	2.609978199005127
8	1772191568.0838442	1772191628.1214588	60.037614583969116	3.817429542541504
9	1772191631.8117056	1772191691.5118742	59.70016860961914	3.690246820449829
10	1772191696.0473704	1772191755.9529126	59.90554213523865	4.535496234893799
11	1772191759.3663137	1772191820.6936095	61.327295780181885	3.4134011268615723
12	1772191823.582664	1772191883.6005237	60.01785969734192	2.889054536819458
13	1772191887.5321817	1772191947.184968	59.65278625488281	3.9316580295562744
14	1772191950.3582516	1772192009.234933	58.876681327819824	3.173283576965332
15	1772192012.7955697	1772192074.3088524	61.513282775878906	3.5606367588043213
16	1772192079.1953983	1772192139.825666	60.63026762008667	4.886545896530151
17	1772192143.5210218	1772192202.5976303	59.076608419418335	3.6953558921813965
18	1772192205.904535	1772192264.7505426	58.84600758552551	3.3069047927856445
19	1772192268.521739	1772192328.8340423	60.31230330467224	3.7711963653564453
20	1772192331.7485235	1772192393.1731663	61.42464280128479	2.9144811630249023
21	1772192396.352779	1772192456.406702	60.0539231300354	3.179612636566162
22	1772192459.7042205	1772192519.8969681	60.192747592926025	3.297518491744995
23	1772192522.9836566	1772192583.6592908	60.675634145736694	3.08668851852417
24	1772192587.2562714	1772192652.0960326	64.83976125717163	3.596980571746826
25	1772192654.9371645	1772192716.276505	61.33934044837952	2.8411319255828857
26	1772192719.1601574	1772192778.183647	59.023489475250244	2.883652448654175
27	1772192782.1363256	1772192842.3146489	60.17832326889038	3.952678680419922
28	1772192845.9476392	1772192906.4304588	60.48281955718994	3.6329903602600098
29	1772192909.4262333	1772192968.6812036	59.25497031211853	2.995774507522583
30	1772192971.4722571	1772193030.5483112	59.076054096221924	2.791053533554077
31	1772193033.7582984	1772193093.4579709	59.69967246055603	3.209987163543701
32	1772193096.472518	1772193158.6018894	62.12937140464783	3.014547109603882
33	1772193161.8648946	1772193221.7537718	59.888877153396606	3.263005256652832
34	1772193225.3493679	1772193285.3390229	59.98965501785278	3.5955960750579834
35	1772193288.4704063	1772193348.993661	60.52325463294983	3.1313834190368652
36	1772193352.279677	1772193412.659115	60.379438161849976	3.2860159873962402
37	1772193417.076888	1772193476.1517522	59.07486414909363	4.417773008346558
38	1772193479.262114	1772193537.6403606	58.378246545791626	3.1103618144989014
39	1772193542.4061708	1772193602.3598745	59.95370364189148	4.765810251235962
40	1772193605.883838	1772193672.331059	66.44722104072571	3.523963451385498
41	1772193676.1819584	1772193738.18785	62.00589156150818	3.8508994579315186
42	1772193741.7058961	1772193801.4009938	59.69509768486023	3.5180461406707764
43	1772193806.048813	1772193866.4840655	60.43525242805481	4.64781928062439
44	1772193870.072116	1772193931.3695247	61.29740881919861	3.588050365447998
45	1772193934.2660522	1772193994.4314914	60.16543912887573	2.8965275287628174
46	1772193997.603714	1772194056.6054118	59.00169777870178	3.17222261428833
47	1772194061.103	1772194120.099308	58.99630808830261	4.497588157653809
48	1772194123.3438892	1772194185.531131	62.18724179267883	3.2445812225341797
49	1772194189.1541278	1772194257.6287174	68.47458958625793	3.6229968070983887
50	1772194260.857592	1772194320.2910056	59.4334135055542	3.228874683380127
51	1772194323.4372976	1772194383.7016819	60.264384269714355	3.146291971206665
52	1772194389.6026022	1772194450.5750113	60.97240900993347	5.900920391082764
53	1772194453.4305978	1772194513.6543832	60.223785400390625	2.855586528778076
54	1772194517.3395576	1772194576.5101163	59.17055869102478	3.6851744651794434
55	1772194579.8236103	1772194639.9118133	60.08820295333862	3.3134939670562744
56	1772194643.5293648	1772194706.9184027	63.38903784751892	3.617551565170288
57	1772194712.0763276	1772194773.7448995	61.66857194900513	5.1579248905181885
58	1772194779.075833	1772194839.5259855	60.45015239715576	5.330933570861816
59	1772194842.4739687	1772194901.9266422	59.45267343521118	2.9479832649230957
60	1772194904.775071	1772194965.8532248	61.07815384864807	2.848428726196289
61	1772194969.1305876	1772195029.5329406	60.402353048324585	3.277362823486328
62	1772195032.4831161	1772195093.1047144	60.62159824371338	2.9501755237579346
63	1772195096.1042209	1772195155.9646726	59.86045169830322	2.9995064735412598
64	1772195158.926238	1772195219.4949243	60.56868624687195	2.9615654945373535
65	1772195222.793384	1772195283.662688	60.869303941726685	3.298459768295288
66	1772195286.740233	1772195349.1788743	62.43864130973816	3.077544927597046
67	1772195352.404399	1772195412.6516297	60.247230768203735	3.225524663925171
68	1772195416.6251347	1772195475.825631	59.200496196746826	3.9735050201416016
69	1772195478.9695852	1772195546.1667192	67.19713401794434	3.143954277038574
70	1772195549.848308	1772195611.823236	61.97492790222168	3.681588888168335
71	1772195615.5233178	1772195702.886181	87.36286330223083	3.7000818252563477
72	1772195706.8136144	1772195766.5024023	59.68878793716431	3.9274332523345947
73	1772195770.7278426	1772195829.5233402	58.79549765586853	4.225440263748169
74	1772195835.1547568	1772195895.8940485	60.73929166793823	5.63141655921936
75	1772195902.8673613	1772195963.873862	61.00650072097778	6.973312854766846
76	1772195968.9174197	1772196029.5263917	60.60897207260132	5.043557643890381
77	1772196033.7999053	1772196100.7672105	66.96730518341064	4.273513555526733
78	1772196104.8663793	1772196164.8525767	59.98619747161865	4.09916877746582
79	1772196168.6468184	1772196229.4176602	60.77084183692932	3.7942416667938232
80	1772196233.4496453	1772196294.0168133	60.56716799736023	4.03198504447937
81	1772196298.8658302	1772196357.4467728	58.58094263076782	4.849016904830933
82	1772196364.399834	1772196426.7149765	62.31514263153076	6.953061103820801
83	1772196430.772131	1772196491.8302157	61.05808472633362	4.057154417037964
84	1772196497.8372946	1772196558.7114012	60.874106645584106	6.0070788860321045
85	1772196562.3848097	1772196622.6488376	60.2640278339386	3.6734085083007812
86	1772196627.8323677	1772196687.4905734	59.65820574760437	5.18353009223938
87	1772196696.1925528	1772196756.3921251	60.19957232475281	8.701979398727417
88	1772196764.817638	1772196824.9502482	60.13261032104492	8.425512790679932
89	1772196829.7418246	1772196889.2810028	59.539178133010864	4.791576385498047
