Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1771973878.4824712	1771973900.2258863	21.743415117263794	0.0
2	1771973902.6002715	1771973925.0003548	22.400083303451538	2.374385118484497
3	1771973927.6462393	1771973949.710061	22.06382179260254	2.6458845138549805
4	1771973952.2852378	1771973974.602314	22.317076206207275	2.57517671585083
5	1771973977.0854151	1771973998.888775	21.803359985351562	2.4831011295318604
6	1771974001.328604	1771974023.3063772	21.977773189544678	2.439828872680664
7	1771974026.4661374	1771974048.296383	21.83024549484253	3.1597602367401123
8	1771974051.1109803	1771974073.3504028	22.23942255973816	2.8145973682403564
9	1771974075.983015	1771974097.9360933	21.953078269958496	2.6326122283935547
10	1771974100.528633	1771974122.668008	22.13937497138977	2.5925397872924805
11	1771974125.5976276	1771974147.5461109	21.94848322868347	2.929619550704956
12	1771974150.348743	1771974172.113531	21.764788150787354	2.8026320934295654
13	1771974175.084102	1771974196.3311858	21.24708390235901	2.9705708026885986
14	1771974198.9011865	1771974220.4115903	21.510403871536255	2.570000648498535
15	1771974222.7646985	1771974244.1207738	21.356075286865234	2.3531081676483154
16	1771974246.5794086	1771974267.8200715	21.240662813186646	2.458634853363037
17	1771974270.4804773	1771974292.4811049	22.000627517700195	2.6604058742523193
18	1771974295.007805	1771974316.4127574	21.40495228767395	2.526700258255005
19	1771974318.8224518	1771974340.1582284	21.335776567459106	2.4096944332122803
20	1771974342.612672	1771974363.9796743	21.367002248764038	2.4544436931610107
21	1771974366.5496385	1771974387.8738334	21.32419490814209	2.5699641704559326
22	1771974390.253989	1771974411.8950443	21.64105534553528	2.380155563354492
23	1771974414.4066648	1771974435.9535968	21.546931982040405	2.51162052154541
24	1771974438.4788063	1771974460.3720908	21.893284559249878	2.525209426879883
25	1771974463.281208	1771974484.772399	21.491190910339355	2.9091172218322754
26	1771974487.413253	1771974509.0701916	21.656938552856445	2.6408541202545166
27	1771974511.8992763	1771974533.3804886	21.481212377548218	2.829084634780884
28	1771974536.2565928	1771974557.6666298	21.41003704071045	2.8761041164398193
29	1771974560.3474567	1771974581.941012	21.593555212020874	2.6808269023895264
30	1771974584.4487808	1771974605.9919298	21.5431489944458	2.5077688694000244
31	1771974608.6630828	1771974631.035004	22.371921062469482	2.6711530685424805
32	1771974634.4433227	1771974656.9937208	22.550398111343384	3.4083187580108643
33	1771974659.9896488	1771974681.84805	21.85840129852295	2.9959280490875244
34	1771974684.5291736	1771974716.7229247	32.193751096725464	2.6811234951019287
35	1771974720.0668268	1771974752.9509072	32.88408041000366	3.343902111053467
36	1771974755.6553364	1771974787.963663	32.308326721191406	2.7044291496276855
37	1771974790.9536235	1771974823.0949762	32.14135265350342	2.9899604320526123
38	1771974825.8180912	1771974856.7319329	30.913841724395752	2.7231149673461914
39	1771974859.6945329	1771974890.136179	30.441646099090576	2.962599992752075
40	1771974892.653124	1771974923.21818	30.56505584716797	2.5169451236724854
41	1771974925.6955457	1771974956.0677257	30.372179985046387	2.477365732192993
42	1771974958.3974075	1771974984.493656	26.096248388290405	2.329681873321533
43	1771974986.7182548	1771975008.3176107	21.599355936050415	2.2245988845825195
44	1771975010.590006	1771975037.444509	26.85450291633606	2.272395372390747
45	1771975039.8479679	1771975063.4539518	23.60598397254944	2.403458833694458
